0,a,21269114,2026.911351%,9.444176%
1,aa,5874196,487.419593%,-38.754729%
2,aapl,23830424,2283.042440%,13597.034976%
3,abbv,1000000,0.000000%,31.829516%
4,abc,18210182,1721.018186%,814.286373%
5,abt,7878852,687.885217%,255.482853%
6,ace,14220883,1322.088302%,285.162932%
7,acn,8026332,702.633241%,459.672607%
8,act,2835073,183.507284%,309.856359%
9,adbe,33420232,3242.023174%,835.094288%
10,adi,20707956,1970.795579%,342.618949%
11,adm,14244776,1324.477649%,178.320058%
12,adp,8646228,764.622804%,249.833271%
13,adsk,28500728,2750.072788%,311.473760%
14,adt,1003668,0.366773%,16.334879%
15,aee,1510745,51.074520%,100.899637%
16,aep,5765829,476.582911%,93.830035%
17,aes,-33851364,-3485.136366%,-43.177175%
18,aet,17379765,1637.976478%,686.109335%
19,afl,27803572,2680.357202%,509.941663%
20,agn,9696069,869.606854%,1129.701237%
21,aig,2767792,176.779243%,-92.150867%
22,aiv,11531075,1053.107451%,173.415256%
23,aiz,7260347,626.034734%,167.063668%
24,akam,-47308462,-4830.846173%,-57.751382%
25,all,7664488,666.448792%,64.110503%
26,altr,19976177,1897.617702%,353.626529%
27,alxn,29102024,2810.202407%,3621.662367%
28,amat,19661940,1866.193959%,141.407797%
29,amd,42898704,4189.870432%,-60.040000%
30,amgn,11026068,1002.606818%,742.481031%
31,amp,1035183,3.518254%,194.341361%
32,amt,-21590772,-2259.077201%,242.333255%
33,amzn,23983635,2298.363546%,5842.052000%
34,an,19638364,1863.836401%,125.961121%
35,anf,24188656,2318.865554%,262.343812%
36,aon,16793979,1579.397925%,142.519665%
37,apa,12669516,1166.951580%,507.882454%
38,apc,17689190,1668.919028%,556.683576%
39,apd,12196488,1119.648767%,266.510622%
40,aph,18421506,1742.150557%,1036.136144%
41,apol,9118859,811.885923%,43.856000%
42,arg,8968003,796.800329%,746.010836%
43,ati,8635907,763.590729%,-7.303801%
44,avb,6528206,552.820575%,605.638227%
45,avp,17401086,1640.108616%,102.699927%
46,avy,10164308,916.430798%,54.190539%
47,axp,10292295,929.229470%,251.170624%
48,azo,14874340,1387.434016%,1392.662365%
49,ba,9745905,874.590546%,187.662288%
50,bac,43106919,4210.691903%,-23.400953%
51,bax,3931515,293.151538%,306.235884%
52,bbby,17172594,1617.259363%,691.391245%
53,bbt,19731901,1873.190099%,92.101841%
54,bby,33570751,3257.075055%,774.358872%
55,bcr,8025437,702.543720%,795.865207%
56,bdx,7590225,659.022525%,413.263343%
57,beam,10127148,912.714802%,242.294705%
58,ben,20951834,1995.183378%,320.483412%
59,bf.b,7465889,646.588895%,634.202771%
60,bhi,15774753,1477.475321%,31.717095%
61,biib,32089315,3108.931528%,3598.211347%
62,bk,9263457,826.345683%,50.819274%
63,blk,11231850,1023.184967%,2354.921149%
64,bll,10955635,995.563465%,1095.242368%
65,bmc,22468533,2146.853260%,39.784030%
66,bms,10005438,900.543776%,189.071869%
67,bmy,3614123,261.412277%,75.647468%
68,brcm,25234350,2423.434959%,162.412538%
69,brkb,5767665,476.766477%,278.665789%
70,bsx,2497948,149.794787%,-1.936000%
71,btu,-733587,-173.358658%,134.118926%
72,bwa,15353560,1435.356003%,743.634471%
73,bxp,7123119,612.311864%,596.012648%
74,c,4701120,370.112021%,-72.504440%
75,ca,27637018,2663.701763%,-33.301506%
76,cag,9516460,851.645979%,94.532861%
77,cah,10903740,990.373986%,146.237945%
78,cam,15845670,1484.567047%,277.174138%
79,cat,10646819,964.681936%,409.612020%
80,cb,10786084,978.608414%,220.145012%
81,cbg,5452161,445.216112%,267.842509%
82,cbs,7048723,604.872267%,354.894200%
83,cce,16958424,1595.842436%,88.377923%
84,cci,13016882,1201.688154%,433.394643%
85,ccl,19534930,1853.493003%,79.045822%
86,celg,24944662,2394.466151%,19630.904965%
87,cern,33519745,3251.974469%,1711.396093%
88,cf,14134784,1313.478409%,1104.730508%
89,cfn,2262978,126.297779%,87.903511%
90,chk,15920558,1492.055840%,273.783129%
91,chrw,9730484,873.048388%,1161.272187%
92,ci,16723245,1572.324477%,360.171209%
93,cinf,10110484,911.048410%,94.412277%
94,cl,8625853,762.585335%,339.865136%
95,clf,23080297,2208.029745%,461.242451%
96,clx,11162627,1016.262750%,219.698747%
97,cma,14887929,1388.792875%,13.872301%
98,cmcsa,7902377,690.237680%,367.452410%
99,cme,7628368,662.836846%,1029.685134%
100,cmg,1029018,2.901787%,801.075800%
101,cmi,15726461,1472.646127%,1063.784182%
102,cms,20134081,1913.408077%,3.856803%
103,cnp,3935921,293.592125%,142.330504%
104,cnx,14770020,1377.002020%,483.736406%
105,cof,52587608,5158.760817%,321.077741%
